Seed_name,Temp_Morning(øC),Temp_Afternoon(øC),Water(ml),Sunlight_type,Moisture(1-5),Growth(mm),Day
Green gram (large) ,25.2,24.9,40,3,2,0,1
Green gram (small),24.7,24.8,50,2,4,0,1
Black gram ,27.4,26.3,30,4,1,0,1
Brown Lentils,25.8,25.4,35,2,2,0,1
Chickpeas ,25.8,25.5,45,3,3,0,1
Green gram (large) ,24.9,25.4,40,2,2,40,2
Green gram (small),24.6,24.7,20,3,3,14,2
Black gram ,28.9,25.1,45,3,2,15,2
Brown Lentils,25.6,25.1,20,2,1,8,2
Chickpeas ,25.9,24.9,60,2,5,20,2
Green gram (large) ,25.1,26,20,2,3,15,3
Green gram (small),25.4,25.9,15,5,2,16,3
Black gram ,31.2,28.2,30,5,1,27,3
Brown Lentils,26.8,27.6,25,3,2,12,3
Chickpeas ,28.2,27.7,5,4,4,8,3
Green gram (large) ,24.2,25.7,10,1,1,65,4
Green gram (small),24,25.5,20,2,3,70,4
Black gram ,24.2,29,15,4,2,48,4
Brown Lentils,23.9,26.4,5,3,5,10,4
Chickpeas ,24,25.7,2,5,4,5,4
Green gram (large) ,24.6,25.5,10,4,3,30,5
Green gram (small),24.5,27.2,15,3,4,30,5
Black gram ,25.4,29.9,12,5,2,15,5
Brown Lentils,23.2,27.1,5,2,2,20,5
Chickpeas ,24,26.8,2,4,3,1,5
Green gram (large) ,25.3,25.9,10,2,4,30,6
Green gram (small),24.6,27.3,12,3,3,20,6
Black gram ,26.3,26,15,4,3,5,6
Brown Lentils,25.2,25.6,4,2,2,30,6
Chickpeas ,25.3,25.5,7,1,1,3,6
Green gram (large) ,25.2,26.5,10,2,3,30,7
Green gram (small),26.3,26.1,13,3,2,20,7
Black gram ,27.1,25.4,11,4,1,15,7
Brown Lentils,26.5,27.1,15,5,3,30,7
Chickpeas ,25.9,25.3,14,3,1,10,7
Green gram (large) ,26,25.4,15,2,3,20,8
Green gram (small),26,25.1,8,1,2,10,8
Black gram ,35.5,26.4,10,3,4,25,8
Brown Lentils,27.4,26.2,13,2,2,60,8
Chickpeas ,30.5,26.8,12,4,1,30,8
Green gram (large) ,28.5,24.5,11,2,3,30,9
Green gram (small),25.9,24.6,7,3,2,10,9
Black gram ,28.2,25,15,4,2,15,9
Brown Lentils,25.7,25.1,20,1,1,30,9
Chickpeas ,27.2,25.3,9,3,2,35,9
Green gram (large) ,26.5,25.2,13,3,4,20,10
Green gram (small),25.5,26.8,8,2,1,15,10
Black gram ,26.5,24.6,12,4,3,10,10
Brown Lentils,24.5,25.3,15,1,3,10,10
Chickpeas ,26.5,25.3,10,2,2,70,10
